'em	ah m #1
store	s t aa r #2
stored	s t aa r d
storm	s t aa r m #1
storms	s t aa r m z
story	s t aa r iy #1
storyline	s t aa r iy l ay n #1
storylines	s t aa r iy l ay n z
straight	s t r ey t #1
straightened	s t r ey t n d
straightforward	s t r ey t f aa r w er d
strain	s t r ey n #1
strained	s t r ey n d
stranded	s t r ae n d ih d
stranger	s t r ey n jh er
strategic	s t r ah t iy jh ih k
strategy	s t r ae t ih jh iy
straw	s t r aa #1
strawberries	s t r aa b eh r iy z
strawberry	s t r aa b eh r iy #1
stray	s t r ey #1
stream	s t r iy m #1
streamed	s t r iy m d
streamlined	s t r iy m l ay n d
streams	s t r iy m z
street	s t r iy t #1
streets	s t r iy t s
strength	s t r eh ng th #1
strengthen	s t r eh ng th ih n
stress	s t r eh s
stretched	s t r eh ch t
strike	s t r ay k #1
strikingly	s t r ay k ih ng l iy
strip	s t r ih p #1
striped	s t r ay p t
stripped	s t r ih p t
strippers	s t r ih p er z
strolled	s t r ow l d
strong	s t r aa ng #1
stronghold	s t r aa ng hh ow l d
strongly	s t r aa ng l iy
struck	s t r ah k #1
structural	s t r ah k ch er l
structure	s t r ah k ch er #1
structures	s t r ah k ch er z
struggle	s t r ah g l #1
struggling	s t r ah g l ih ng
stuck	s t ah k
students	s t uw d n t s #1
students'	s t uw d n t s #2
studio	s t uw d iy ow
study	s t ah d iy
stumping	s t ah m p ih ng
stung	s t ah ng
stupid	s t uw p ih d
style	s t ay l #1
stylish	s t ay l ih sh
subdued	s ah b d uw d
subgroups	s ah b g r uw p s
subject	s ah b jh ih k t
subjective	s ah b jh eh k t ih v
submarine	s ah b m er iy n
submit	s ah b m ih t
substances	s ah b s t ih n s ih z
substantial	s ah b s t ae n sh l
substantially	s ah b s t ae n sh ah l iy
subsystems	s ah b s ih s t ah m z
subtitles	s ah b t ay t l z
subtraction	s ah b t r ae k sh ih n
suburban	s ah b er b ih n #1
suburbanites	s ah b er b ih n ay t s
suburbs	s ah b er b z
subway	s ah b w ey
succeeding	s ah k s iy d ih ng
success	s uh k s eh s #1
successful	s uh k s eh s f uh l #1
successfully	s uh k s eh s f uh l iy
successors	s uh k s eh s er z
such	s ah ch
sucking	s ah k ih ng
sudden	s ah d n #1
suddenly	s ah d n l iy
suey	s uw iy
suffer	s ah f er #1
suffered	s ah f er d
suffers	s ah f er z
sufficiency	s ah f ih sh ih n s iy
sufficient	s ah f ih sh ih n t #1
sufficiently	s ah f ih sh ih n t l iy
sugar	sh uh g er
suggestion	s ah jh eh s ch n
suicide	s uw ah s ay d
suit	s uw t #1
suitable	s uw t ah b l #1
suitably	s uw t ah b l iy
suite	s w iy t #1
sullen	s ah l ah n
sulphur	s ah l f er
sum	s ah m #2
summer	s ah m er #1
summertime	s ah m er t ay m
sun	s ah n #2
sunburn	s ah n b er n #1
sunburned	s ah n b er n d
sundae	s ah n d ey
sundown	s ah n d aw n
sung	s ah ng
sunlight	s ah n l ay t
sunshine	s ah n sh ay n
superb	s uh p er b #1
superbly	s uh p er b l iy
superior	s ah p ih r iy er #1
superiors	s ah p ih r iy er z
supervision	s uw p er v ih sh ih n
supervisory	s uw p er v ay z er iy
supper	s ah p er #1
suppers	s ah p er z
supplements	s ah p l ah m ah n t s
supplies	s ah p l ay z
supporters	s ah p aa r t er z
supports	s ah p aa r t s
suppose	s ah p ow z
supreme	s ah p r iy m
sure	sh uh r #1
sure-sure	sh uh r sh uh r
surely	sh uh r l iy
surface	s er f ah s #1
surfaceness	s er f ah s n ih s
surfaces	s er f ah s ih z
surfeit	s er f ah t
surgeon	s er jh ih n
surplus	s er p l ah s
surprise	s er p r ay z #1
surprising	s er p r ay z ih ng #1
surprisingly	s er p r ay z ih ng l iy
surrender	s er eh n d er
surrounded	s er aw n d ih d
survey	s er v ey #1
surveying	s er v ey ih ng
survival	s er v ay v l
survive	s er v ay v #1
susceptible	s ih s eh p t ah b l
suspect	s ih s p eh k t
suspiciously	s ih s p ih sh ah s l iy
swam	s w ae m
swarmed	s w aa r m d
swarthy	s w aa r dh iy
swatches	s w aa ch ih z
sweat	s w eh t #1
sweater	s w eh t er #1
sweaters	s w eh t er z
swedish	s w iy d ih sh
sweet	s w iy t #2
sweet-sour	s w iy t s aw er
sweetheart	s w iy t hh aa r t
sweetly	s w iy t l iy
swells	s w eh l z
swiftly	s w ih f t l iy
swig	s w ih g
swimming	s w ih m ih ng
swing	s w ih ng
swirled	s w er l d
swiss	s w ih s
switched	s w ih ch t
switches	s w ih ch ih z
swivel	s w ih v l
swollen	s w ow l ih n
swung	s w ah ng
symbolic	s ih m b aa l ih k
symbolism	s ih m b ah l ih z m
symbolize	s ih m b ah l ay z
symbols	s ih m b l z
symmetrical	s ah m eh t r ih k l
sympathetically	s ih m p ah th eh t ih k ah l iy
symposium	s ih m p ow z iy ah m
symptom	s ih m p t ah m
synagogue	s ih n ih g aa g
synonymous	s ih n aa n ah m ah s
syrup	s ih r ah p
system	s ih s t ah m #1
systems	s ih s t ah m z
table	t ey b l #1
tablecloths	t ey b l k l aa th s
tables	t ey b l z
tackle	t ae k l
tad	t ae d #1
tadpole	t ae d p ow l
tag	t ae g
tail	t ey l #1
tailored	t ey l er d
tails	t ey l z
take	t ey k #1
taken	t ey k ih n
takes	t ey k s
takin'	t ey k n
taking	t ey k ih ng
tale	t ey l #2
talent	t ae l ih n t
talk	t aa k #1
talked	t aa k t
talking	t aa k ih ng
tall	t aa l #1
tallyho	t ae l iy hh ow
tame	t ey m
tan	t ae n #1
tank	t ae ng k
tantalizing	t ae n t ah l ay z ih ng
tape	t ey p #1
tapes	t ey p s
tapestry	t ae p ah s t r iy
target	t aa r g ih t #1
targets	t aa r g ih t s
task	t ae s k #1
tasks	t ae s k s
tasteful	t ey s t f uh l
tastes	t ey s t s
taut	t aa t
tax	t ae k s #1
tax-aided	t ae k s ey d ih d
taxation	t ae k s ey sh ih n
taxi	t ae k s iy #1
taxicab	t ae k s iy k ae b
taxpayer	t ae k s p ey er
tea	t iy #1
teach	t iy ch #1
teacher	t iy ch er
teaching	t iy ch ih ng
team	t iy m #1
tears	t ih r z
teased	t iy z d
teaspoons	t iy s p uw n z
technical	t eh k n ih k l
technique	t eh k n iy k #1
techniques	t eh k n iy k s
technological	t eh k n ah l aa jh ih k l
technology	t eh k n aa l ah jh iy
teems	t iy m z
teeth	t iy th
telephone	t eh l ah f ow n #1
telephoning	t eh l ah f ow n ih ng
tell	t eh l #1
tellers	t eh l er z
tells	t eh l z
temper	t eh m p er #1
temperate	t eh m p er ih t
tempo	t eh m p ow
temptation	t eh m p t ey sh ih n #1
temptations	t eh m p t ey sh ih n z
tempted	t eh m p t ih d
ten	t eh n #1
tenant	t eh n ih n t #1
tenant's	t eh n ih n t s
tend	t eh n d #1
tended	t eh n d ih d
tenderness	t eh n d er n ih s
tends	t eh n d z
tensely	t eh n s l iy
tension	t eh n sh ih n
tentacles	t eh n t ih k l z
tenure	t eh n y er
term	t er m #1
terms	t er m z
terrible	t eh r ah b l
terrier	t eh r iy er
terrific	t er ih f ih k
terrifying	t eh r ah f ay ih ng
test	t eh s t #1
test-run	t eh s t r ah n
testicle	t eh s t ih k l
testimony	t eh s t ih m ow n iy
tests	t eh s t s
tetanus	t eh t n ih s
tethered	t eh dh er d
text	t eh k s t #1
text-form	t eh k s t f aa r m
texts	t eh k s t s
texture	t eh k s ch er
than	dh ae n
thank	th ae ng k #1
thanks	th ae ng k s #1
thanksgiving	th ae ng k s g ih v ih ng
that	dh ae t #1
that'll	dh ae t l
that's	dh ae t s
thaw	th aa #1
the	dh ah #1
theaters	th iy t er z
their	dh ae r #1
theirs	dh ae r z #1
them	dh eh m #1
theme	th iy m #1
themes	th iy m z
themselves	dh eh m s eh l v z
then	dh eh n
theocracy	th iy aa k r ih s iy
theory	th ih r iy
therapies	th eh r ah p iy z
therapy	th eh r ah p iy #1
there	dh ae r #2
there's	dh ae r z #2
thereafter	dh ae r ae f t er
thereby	dh ae r b ay
thereupon	dh ae r ah p aa n
thermal	th er m l
thermometer	th er m aa m ah t er #1
thermometers	th er m aa m ah t er z
thermonuclear	th er m ow n uw k l iy er
these	dh iy z
they	dh ey #1
they'd	dh ey d
they'll	dh ey l
they're	dh ae r #3
they've	dh ey v
thick	th ih k
thief	th iy f
thighs	th ay z
thimble	th ih m b l
thin	th ih n #1
thing	th ih ng #1
things	th ih ng z
think	th ih ng k #1
thinker	th ih ng k er
thinkin	th ih ng k ih n
thinking	th ih ng k ih ng
thinks	th ih ng k s
thinner	th ih n er
third	th er d
thirty	th er t iy #1
thirty-five	th er t iy f ay v
this	dh ih s
thomas	t aa m ih s
thoroughbred	th er ow b r eh d
thoroughfares	th er ow f ae r z
thoroughly	th er ow l iy
those	dh ow z
thou	dh aw
though	dh ow #1
thought	th aa t #1
thoughtless	th aa t l ih s
thousand	th aw z n d
thread	th r eh d
threatening	th r eh t n ih ng
three	th r iy #1
three-inch	th r iy ih n ch
threw	th r uw #1
thrill	th r ih l
thrived	th r ay v d
throat	th r ow t
thrombosis	th r aa m b ow s ih s
through	th r uw #2
throughout	th r uw aw t
throw	th r ow #1
thrower	th r ow er
thrusting	th r ah s t ih ng
thruway	th r uw w ey
thump	th ah m p
thursday's	th er z d ey z #1
thursdays	th er z d ey z #2
thus	dh ah s
thwarted	th w aa r t ih d
thyroid	th ay r oy d
tidbits	t ih d b ih t s
tides	t ay d z
tie	t ay #1
tied	t ay d #1
tight	t ay t #1
tiles	t ay l z
tilted	t ih l t ih d
tim	t ih m #1
timber	t ih m b er
time	t ay m #1
timers	t ay m er z
times	t ay m z
timing	t ay m ih ng
tin	t ih n #1
tinder	t ih n d er
tinkled	t ih ng k l d
tinsel	t ih n s l
tiny	t ay n iy
tips	t ih p s
tired	t ay er d
tissue	t ih sh uw
title	t ay t l
titter	t ih t er
to	t uw #1
toast	t ow s t
tobacco	t ah b ae k ow
today	t ih d ey #1
today'll	t ih d ey l
today's	t ih d ey z
todd	t aa d #1
toddler	t aa d l er
toe	t ow #1
tofu	t ow f uw
together	t ih g eh dh er
toilet	t oy l ih t
told	t ow l d
tolerated	t aa l er ey t ih d
toll	t ow l #1
tom	t aa m #1
tomblike	t uw m l ay k
tomboy	t aa m b oy
tombstones	t uw m s t ow n z
tomorrow	t ah m aa r ow
tongue	t ah ng
too	t uw #2
too-naked	t uw n ey k ih d
took	t uh k
tool	t uw l
tooth	t uw th #1
toothbrush	t uw th b r ah sh
toothpaste	t uw th p ey s t
top	t aa p #1
topography	t ah p aa g r ah f iy
topping	t aa p ih ng
tore	t aa r #1
torn	t aa r n #1
tornados	t aa r n ey d ow z
toss	t aa s #1
tossed	t aa s t
total	t ow t l
touch	t ah ch #1
touchdown	t ah ch d aw n
touched	t ah ch t
touches	t ah ch ih z
tough	t ah f
tour	t uh r
toward	t aa r d #1
towards	t aa r d z
towel	t aw l
town	t aw n
toxic	t aa k s ih k
toy	t oy #1
traced	t r ey s t
track	t r ae k #1
tracks	t r ae k s
trade	t r ey d
tradition	t r ah d ih sh ih n #1
traditionalism	t r ah d ih sh ih n l ih z m
traffic	t r ae f ih k
tragedy	t r ae jh ih d iy
tragic	t r ae jh ih k
trail	t r ey l
train	t r ey n #1
training	t r ey n ih ng
trait	t r ey t #1
traits	t r ey t s
tranquilizers	t r ae ng k w ih l ay z er z
transact	t r ae n s ae k t
transcendence	t r ae n s eh n d ih n s
transience	t r ae n s iy ih n s
transit	t r ae n s ih t
translated	t r ae n s l ey t ih d
transmit	t r ae n s m ih t
transparent	t r ae n s p ae r ah n t
trap	t r ae p
trauma	t r aa m ah
travel	t r ae v l #1
traveler	t r ae v l er #1
travelers	t r ae v l er z
travelled	t r ae v l d
tray	t r ey #1
treated	t r iy t ih d
treatment	t r iy t m ah n t
treats	t r iy t s
tree	t r iy #1
trees	t r iy z
trembled	t r eh m b l d
tremor	t r eh m er
tremulously	t r eh m y uh l ah s l iy
trend	t r eh n d #1
trend-following	t r eh n d f aa l ow ih ng
trends	t r eh n d z
trespassing	t r eh s p ae s ih ng
trial	t r ay l #1
trials	t r ay l z
tribes	t r ay b z
trick	t r ih k
tried	t r ay d
tries	t r ay z
trifle	t r ay f l
triggered	t r ih g er d
trim	t r ih m
trip	t r ih p #1
trips	t r ih p s
trish	t r ih sh
triumphant	t r ay ah m f ah n t
triviality	t r ih v iy ae l ih t iy
tropical	t r aa p ih k l
trouble	t r ah b l
trousers	t r aw z er z
truck	t r ah k #1
trucks	t r ah k s
true	t r uw #1
truism	t r uw ih z m
truly	t r uw l iy
trunks	t r ah ng k s
trustworthy	t r ah s t w er dh iy
truth	t r uw th
try	t r ay #1
trying	t r ay ih ng
tsunami	t s uw n aa m iy
tub	t ah b #1
tube	t uw b
tugboats	t ah g b ow t s
tumbled	t ah m b l d
tunafish	t uw n ah f ih sh
tunnels	t ah n l z
turbulent	t er b y uh l ah n t
turmoil	t er m oy l
turn	t er n #1
turned	t er n d
turnpikes	t er n p ay k s
turns	t er n z
turpentine	t er p ah n t ay n
turquoise	t er k oy z
tweezers	t w iy z er z
twelfth	t w eh l f th
twelve	t w eh l v
twenty	t w eh n t iy #1
twenty-five	t w eh n t iy f ay v
twenty-nine	t w eh n t iy n ay n
twenty-three	t w eh n t iy th r iy
twenty-two	t w eh n t iy t uw
twice	t w ay s
twigged	t w ih g d
twilight	t w ay l ay t
twins	t w ih n z
twisted	t w ih s t ih d
twitched	t w ih ch t
two	t uw #3
twofold	t uw f ow l d
tycoons	t ay k uw n z
type	t ay p #1
types	t ay p s
typhoid	t ay f oy d
typhus	t ay f ah s
typical	t ih p ih k l #1
typically	t ih p ih k l iy
tyrannical	t ih r ae n ih k l
tyranny	t ih r ae n iy
ugly	ah g l iy
ultrasonic	ah l t r ah s aa n ih k
umbrella	ah m b r eh l ah
unabashed	ah n ah b ae sh t
unanimity	y uw n ih n ih m ah t iy
unappreciated	ah n ah p r iy sh iy ey t ih d
unauthentic	ah n aa th eh n t ih k
unavailable	ah n ah v ey l ih b l
unbeatable	ah n b iy t ah b l
unbelievable	ah n b ah l iy v ah b l
unbound	ah n b aw n d
unbroken	ah n b r ow k ih n
uncertain	ah n s er t n
uncomfortable	ah n aa ah m f er t ah b l
uncommon	ah n k aa m ah n
unconvincing	ah n k ah n v ih n s ih ng
uncover	ah n k ah v er
undeniably	ah n d iy n ay ah b l iy
under	ah n d er #1
under-age	ah n d er ey jh
underbrush	ah n d er b r ah sh
underfoot	ah n d er f uh t
understand	ah n d er s t ae n d #1
understanding	ah n d er s t ae n d ih ng #1
understandingly	ah n d er s t ae n d ih ng l iy
understood	ah n d er s t uh d
underwriting	ah n d er r ay t ih ng
undesirable	ah n d ih z ay r ah b l
unduly	ah n d uw l iy
uneasily	ah n iy z ah l iy
uneasy	ah n iy z iy
unenthusiastic	ah n ih n th uw z iy ae s t ih k
unevenly	ah n iy v ah n l iy
unexpected	ah n ih k s p eh k t ih d #1
unexpectedly	ah n ih k s p eh k t ih d l iy
unfenced	ah n f eh n s t
unfortunately	ah n f aa r ch ih n ih t l iy
unfortunates	ah n f aa r ch ih n ih t s
unhappy	ah n hh ae p iy
unhurried	ah n hh er iy d
uni-	y uw n iy #1
uni-directional	y uw n iy d er eh k sh ih n l
uniforms	y uw n ih f aa r m z
uninterrupted	ah n ih n t er ah p t ih d
union	y uw n y ih n #1
unions	y uw n y ih n z
uniqueness	y uw n iy k n ih s
unit	y uw n ih t #1
units	y uw n ih t s
unity	y uw n ih t iy
universality	y uw n ih v er s ae l ih t iy
universe	y uw n ah v er s
university	y uw n ih v er s ih t iy #1
university-wide	y uw n ih v er s ih t iy w ay d
unjustified	ah n jh ah s t ih f ay d
unknown	ah n ow n
unless	ah n l eh s
unlimited	ah n l ih m ih t ih d
unlined	ah n l ay n d
unlucky	ah n l ah k iy
unmagnified	ah n m ae g n ih f ay d
unnecessarily	ah n eh s ih s eh r ah l iy
unoccupied	ah n aa k y uw p ay d
unpleasant	ah n p l eh z n t
unquestionably	ah n k w eh s ch ih n ah b l iy
unrealistic	ah n r iy l ih s t ih k
unreasoning	ah n r iy z n ih ng
unseen	ah n s iy n
unspecified	ah n s p eh s ih f ay d
unstuck	ah n s t ah k
unsuspecting	ah n s ah s p eh k t ih ng
until	ah n t ih l
untimely	ah n t ay m l iy
unusual	ah n y uw sh uw l
unusually	ah n y uw sh uw ah l iy
unwaveringly	ah n w ey v er ih ng
up	ah p #1
upbeat	ah p b iy t
upbringing	ah p b r ih ng ih ng
updating	ah p d ey t ih ng
upgrade	ah p g r ey d
uplift	ah p l ih f t
upon	ah p aa n
upper	ah p er
upside	ah p s ay d
upstairs	ah p s t ae r z
upward	ah p w er d
urchins	er ch ih n z
uremia	y uh r iy m iy ah
urethane	y uh r ah th ey n
urge	er jh #1
urged	er jh d
urgent	er jh ih n t
urges	er jh ih z
urging	er jh ih ng
us	ah s #1
usages	y uw s ih jh ih z
used	y uw z d
useful	y uw s f l
useless	y uw s l ah s
uses	y uw z ih z
use~n	y uw s #1
use~v	y uw z #1
using	y uw z ih ng
usual	y uw sh uw l
usually	y uw sh uw ah l iy
utilizing	y uw t ah l ay z ih ng
utmost	ah t m ow s t
utopianism	y uw t ow p iy n ih z m
utopians	y uw t ow p iy n z
utter	ah t er
vacant	v ey k ih n t
vacation	v ey k ey sh ih n
vacuum	v ae k y uw m
vagabond	v ae g ah b aa n d
vaguely	v ey g l iy
vain	v ey n
valiant	v ae l y ah n t
validated	v ae l ah d ey t ih d
validity	v ah l ih d ih t iy
valley	v ae l iy #1
valleys	v ae l iy z
valuables	v ae l y uh b l z
value	v ae l y uw #1
values	v ae l y uw z
vanilla	v ah n ih l ah
vanished	v ae n ih sh t
vanishing	v ae n ih sh ih ng
vanquished	v ae n k w ih sh t
vapor	v ey p er #1
vaporization	v ey p er ah z ey sh ih n
variable	v ae r iy ah b l
variety	v er ay ah t iy
various	v ae r iy ah s
vascular	v ae s k y uh l er
vases	v ey s ih z
vaudeville	v aa d v l
vault	v aa l t #1
vaulting	v aa l t ih ng
veer	v ih r #1
veered	v ih r d
vegetable	v eh jh t ah b l #1
vegetables	v eh jh t ah b l z
vehicles	v iy hh ih k l z
velocities	v ah l aa s ih t iy z
velocity	v ah l aa s ih t iy #1
vending	v eh n d ih ng
ventures	v eh n ch er z
verb	v er b #1
verbal	v er b l
verbalize	v er b ah l ay z
vermouth	v er m uw th
verse	v er s #1
verses	v er s ih z
vertebral	v er t ah b r l
vertigo	v er t ih g ow
very	v eh r iy
veterans'	v eh t er ah n z
veterinarian	v eh t er ah n eh r iy ah n
vices	v ay s ih z
victim	v ih k t ah m #1
victims	v ih k t ah m z
victor	v ih k t er
vietnamese	v iy eh t n aa m iy z
view	v y uw #1
viewpoint	v y uw p oy n t
views	v y uw z
vigilance	v ih jh l ah n s
vigorous	v ih g er ah s
village	v ih l ih jh
villains	v ih l ih n z
violates	v ay ah l ey t s
violence	v ay l ah n s
violent	v ay l ah n t #1
violently	v ay l ah n t l iy
violin	v ay ah l ih n
virtually	v er ch uw ah l iy
virtue	v er ch uw #1
virtues	v er ch uw z
virtuous	v er ch uw ih s
virus	v ay r ih s
visage	v ih z ih jh
viscosity	v ih s k aa s ih t iy
visibly	v ih z ih b l iy
vision	v ih sh ih n
visit	v ih z ih t #1
visiting	v ih z ih t ih ng
visitor	v ih z ih t er #1
visitors	v ih z ih t er z
visual	v ih sh uw l
visually	v ih sh uw ah l iy
vital	v ay t l
vitality	v ay t ae l ih t iy
vitamin	v ay t ah m ah n #1
vitamin-and-iron	v ay t ah m ah n ae n d ay er n
vivid	v ih v ih d #1
vividly	v ih v ih d l iy
vocabulary	v ow k ae b y uh l eh r iy
vocational	v ow k ey sh ih n l
vodka	v aa d k ah
voice	v oy s
voltages	v ow l t ih jh ih z
volume	v aa l y uw m #1
volumes	v aa l y uw m z
volunteered	v aa l ih n t ih r d
volunteers	v aa l ih n t ih r z
votes	v ow t s
voyage	v oy ih jh
wadded	w aa d ih d
wage	w ey jh
wagon	w ae g ih n #1
wagons	w ae g ih n z
wait	w ey t #1
waited	w ey t ih d
waiting	w ey t ih ng
wake	w ey k #1
waking	w ey k ih ng
walk	w aa k #1
walked	w aa k t
walking	w aa k ih ng
wall	w aa l #1
walls	w aa l z
wandered	w aa n d er d
wanna	w ah n ah #1
want	w aa n t #1
wanted	w aa n t ih d
wants	w aa n t s
war	w aa r #1
ward	w aa r d #1
wardrobe	w aa r d r ow b
warfare	w aa r f ae r
warlike	w aa r l ay k
warm	w aa r m #1
warmish	w aa r m ih sh
warmongering	w aa r m aa ng g er ih ng
warmth	w aa r m th
warn	w aa r n #1
warningly	w aa r n ih ng l iy
warping	w aa r p ih ng
warrior	w aa r iy er
was	w ah z #1
wash	w aa sh #1
washer	w aa sh er
washing	w aa sh ih ng #1
washington	w aa sh ih ng t ah n
wasn't	w ah z n t
wasp	w aa s p
waste	w ey s t
watch	w aa ch #1
watched	w aa ch t
watches	w aa ch ih z
water	w aa t er #1
waters	w aa t er z
wave	w ey v #1
wave-setting	w ey v s eh t ih ng
waves	w ey v z
wax	w ae k s #1
waxing	w ae k s ih ng
waxy	w ae k s iy
way	w ey #1
ways	w ey z
we	w iy #1
we'd	w iy d
we'll	w ih l #1
we're	w ih r #1
we've	w iy v #1
weakens	w iy k ih n z
weakness	w iy k n ih s
wealth	w eh l th #1
wealthy	w eh l th iy
weapon	w eh p ah n
wear	w ae r
weary	w ih r iy
weather	w eh dh er #1
weatherproof	w eh dh er p r uw f
weatherstrip	w eh dh er s t r ih p
weave	w iy v #2
web	w eh b #1
webbed	w eh b d
wedded	w eh d ih d
wedding	w eh d ih ng
week	w iy k #1
weekday	w iy k d ey
weekend	w iy k eh n d
weeks	w iy k s
weeping	w iy p ih ng
welcome	w eh l k ah m #1
welcomed	w eh l k ah m d
welfare	w eh l f ae r
well	w eh l #1
well-kept	w eh l k eh p t
well-made	w eh l m ey d
went	w eh n t
were	w er #1
weren't	w er n t
westchester	w eh s ch eh s t er
wet	w eh t
what	hh w aa t #1
what're	hh w aa t er
what's	hh w aa t s #1
what's-his-name	hh w aa t s hh ih z n ey m
whatever	hh w ah t eh v er
whatsoever	hh w aa t s ow eh v er
wheat	hh w iy t
wheel	hh w iy l #1
wheels	hh w iy l z
when	hh w eh n #1
whenever	hh w eh n eh v er
where	hh w ae r #1
where're	hh w ae r er
wherever	hh w ae r eh v er
whether	w eh dh er #2
which	hh w ih ch
while	hh w ay l
whimsical	hh w ih m z ih k l
whining	hh w ay n ih ng
whip	hh w ih p #1
whiplashes	hh w ih p l ae sh ih z
whipped	hh w ih p t
whipsawed	hh w ih p s aa d
whirling	hh w er l ih ng
whiskey	hh w ih s k iy
whisper	hh w ih s p er #1
whispered	hh w ih s p er d
whistling	hh w ih s l ih ng
white	hh w ay t
whizzing	hh w ih z ih ng
who	hh uw #1
whoever	hh uw eh v er
whole	hh ow l #2
wholesome	hh ow l s ah m
whoppers	hh w aa p er z
whorls	hh w er l z
whosoever	hh uw s ow eh v er
why	hh w ay #1
wick	w ih k
wide	w ay d #1
widely	w ay d l iy
wider	w ay d er
widow	w ih d ow
width	w ih d th #1
widths	w ih d th s
wieners	w iy n er z
wife	w ay f
wild	w ay l d #1
wildly	w ay l d l iy
will	w ih l #2
willow	w ih l ow #1
willowy	w ih l ow iy
win	w ih n #1
window	w ih n d ow #1
windowpanes	w ih n d ow p ey n z
windows	w ih n d ow z
winds	w ih n d z
windshield	w ih n d sh iy l d
wine	w ay n
wingman	w ih ng m ah n
winking	w ih ng k ih ng
winter	w ih n t er
wipe	w ay p
wire	w ay er #1
wire-haired	w ay er hh ae r d
wired	w ay er d
wisdom	w ih z d ah m
wise	w ay z #1
wised	w ay z d
wish	w ih sh #1
wishful	w ih sh f uh l
witches	w ih ch ih z
with	w ih dh #1
withdraw	w ih dh d r aa
within	w ih dh ih n
without	w ih dh aw t
witnesses	w ih t n ih s ih z
witnessing	w ih t n ih s ih ng
wobble	w aa b l #1
wobbled	w aa b l d
woe	w ow #1
woman	w uh m ah n
women	w ih m ah n
won't	w ow n t
wondered	w ah n d er d
wonderful	w ah n d er f uh l #1
wonderfully	w ah n d er f uh l iy
wonders	w ah n d er z
wood	w uh d #1
wooded	w uh d ih d
wooden	w uh d n
woodland	w uh d l ae n d
woods	w uh d z
wool	w uh l #1
woolen	w uh l ah n
woolly	w uh l l iy
wops	w aa p s
word	w er d #1
words	w er d z
wore	w aa r #2
work	w er k #1
workable	w er k ah b l
worked	w er k t
worker	w er k er #1
workers	w er k er z
working	w er k ih ng
works	w er k s
world	w er l d #1
world's	w er l d z
worm	w er m
worn	w aa r n #2
worried	w er iy d
worries	w er iy z
worry	w er iy #1
worse	w er s
worship	w er sh ih p
worth	w er th
would	w uh d #2
would've	w uh d ah v
wounds	w uw n d z
wound~n	w uw n d #1
wound~v	w aw n d
wrap	r ae p #1
wraps	r ae p s
wrinkled	r ih ng k l d
wrist	r ih s t #1
writers	r ay t er z
writes	r ay t s #3
written	r ih t n
wrong	r aa ng
wrote	r ow t
x	eh k s #1
x-ray	eh k s r ey
y'all	y aa l
ya	y ah #1
yacht	y aa t
yard	y aa r d #1
yards	y aa r d z
yarn	y aa r n
yeah	y eh ah
year	y ih r #1
year's	y ih r z #1
yearly	y ih r l iy
years	y ih r z #2
yell	y eh l #1
yelled	y eh l d
yellow	y eh l ow
yes	y eh s #1
yesterday	y eh s t er d ey
yet	y eh t
yield	y iy l d #1
yielded	y iy l d ih d
yogurt	y ow g er t
york	y aa r k
you	y uw #1
you'd	y uw d
you'll	y uw l
you're	y uh r #1
you've	y uw v
young	y ah ng #1
youngsters	y ah ng s t er z
your	y uh r #2
yours	y uh r z
yourself	y uh r s eh l f
youth	y uw th
zeal	z iy l
zealous	z eh l ah s
zebras	z iy b r ah z
zig-	z ih g #1
zig-zagged	z ih g z ae g d
zinnias	z ih n iy ah z
zip	z ih p #1
zippers	z ih p er z
zircons	z er k aa n z
zombie	z aa m b iy
zones	z ow n z
zoning	z ow n ih ng
zoo	z uw #1
zoologist	z ow aa l ah jh ih s t
zoos	z uw z
<s>	sil #1
</s>	sil #2
SIL	sil #3
